seat_id,floor,zone,x,y,node
2E2_078,2,E2,3688358.860480844,-2661385.3378904285,2E2_2
2E2_079,2,E2,3687606.922708437,-2661384.288655448,2E2_1
2E2_080,2,E2,3686854.984936031,-2661383.239420466,2E2_1
2E2_081,2,E2,3686103.047163624,-2661382.190185485,2E2_1
2E2_082,2,E2,3685351.109391216,-2661381.140950504,2E2_1
2E2_083,2,E2,3684599.1716188095,-2661380.0917155226,2E2_1
2E2_084,2,E2,3683847.2338464023,-2661379.0424805414,2E2_1
2E2_085,2,E2,3692119.5707761897,-2660658.5704532424,2E2_2
2E2_086,2,E2,3691367.633003783,-2660657.521218261,2E2_2
2E2_087,2,E2,3690615.695231376,-2660656.4719832805,2E2_2
2E2_088,2,E2,3689863.757458969,-2660655.4227483,2E2_2
2E2_089,2,E2,3689111.819686562,-2660654.373513318,2E2_2
2E2_090,2,E2,3688359.881914155,-2660653.324278337,2E2_2
2E2_091,2,E2,3687607.944141749,-2660652.275043356,2E2_1
2E2_092,2,E2,3686856.0063693416,-2660651.2258083746,2E2_1
2E2_093,2,E2,3686104.0685969344,-2660650.1765733934,2E2_1
2E2_094,2,E2,3685352.1308245272,-2660649.127338412,2E2_1
2E2_095,2,E2,3684600.193052121,-2660648.078103431,2E2_1
2E2_096,2,E2,3683848.255279714,-2660647.02886845,2E2_1
2E2_097,2,E2,3692120.5922095007,-2659926.55684115,2E2_2
2E2_098,2,E2,3691368.654437094,-2659925.5076061687,2E2_2
2E2_099,2,E2,3690616.716664687,-2659924.458371188,2E2_2
2E2_100,2,E2,3689864.77889228,-2659923.409136207,2E2_2
2E2_101,2,E2,3689112.841119873,-2659922.3599012257,2E2_2
2E2_102,2,E2,3688360.903347466,-2659921.3106662445,2E2_2
2E2_103,2,E2,3687608.9655750594,-2659920.2614312638,2E2_1
2E2_104,2,E2,3686857.0278026527,-2659919.212196282,2E2_1
2E2_105,2,E2,3686105.0900302455,-2659918.162961301,2E2_1
2E2_106,2,E2,3685353.1522578383,-2659917.11372632,2E2_1
2E2_107,2,E2,3684601.214485432,-2659916.0644913386,2E2_1
2E2_108,2,E2,3683849.276713025,-2659915.0152563574,2E2_1
2A3_001,2,A3,3625654.557350547,-2673659.6758829835,2A3_3
